"stage","time2","time1","temp2","transfer","temp1","province","generation","block","time2d","time2.orig","group_index","nobs"
"L2",6.208333,8.708333,20,TRUE,5,"ON","F1",191,5.208333,6.208333,9,1
"L2",5.208333,8.833333,20,TRUE,5,"ON","F1",191,4.208333,5.208333,3,1
"L2",9.25,8.833333,20,TRUE,5,"ON","F1",191,8.25,9.25,10,1
"L2",5.208333,8.833333,20,TRUE,5,"ON","F1",191,4.208333,5.208333,8,1
"L2",5.208333,8.833333,20,TRUE,5,"ON","F1",191,4.208333,5.208333,2,1
"L2",5.208333,8.833333,20,TRUE,5,"ON","F1",191,4.208333,5.208333,4,1
"L2",11.29167,8.833333,20,TRUE,5,"ON","F1",191,10.29167,11.29167,9,1
"L3",5.083333,10.95833,20,TRUE,5,"ON","F1",192,3.083333,4.083333,5,1
"L3",4.208333,10.875,20,TRUE,5,"ON","F1",192,2.208333,3.208333,3,1
"L3",4.208333,10.75,20,TRUE,5,"ON","F1",192,2.208333,3.208333,8,1
"L3",6.041667,10.95833,20,TRUE,5,"ON","F1",192,4.041667,5.041667,7,1
"L3",5.125,10.70833,20,TRUE,5,"ON","F1",192,3.125,4.125,8,1
"L3",6.041667,10.95833,20,TRUE,5,"ON","F1",192,4.041667,5.041667,9,1
"L3",5.125,10.70833,20,TRUE,5,"ON","F1",192,3.125,4.125,2,1
"L3",5.125,10.70833,20,TRUE,5,"ON","F1",192,3.125,4.125,9,1
"L3",6.25,10.70833,20,TRUE,5,"ON","F1",192,4.25,5.25,9,1
"L3",6.208333,10.875,20,TRUE,5,"ON","F1",192,4.208333,5.208333,5,1
"L3",6.25,10.70833,20,TRUE,5,"ON","F1",192,4.25,5.25,1,1
"L3",6.25,10.70833,20,TRUE,5,"ON","F1",192,4.25,5.25,6,1
"L3",5.083333,10.95833,20,TRUE,5,"ON","F1",192,3.083333,4.083333,10,1
"L3",5.125,10.70833,20,TRUE,5,"ON","F1",192,3.125,4.125,8,1
"L3",5.125,10.70833,20,TRUE,5,"ON","F1",192,3.125,4.125,7,1
"L3",5.083333,10.95833,20,TRUE,5,"ON","F1",192,3.083333,4.083333,3,1
"L3",6.208333,10.875,20,TRUE,5,"ON","F1",192,4.208333,5.208333,5,1
"L3",5.125,10.70833,20,TRUE,5,"ON","F1",192,3.125,4.125,3,1
"L3",6.25,10.70833,20,TRUE,5,"ON","F1",192,4.25,5.25,1,1
"L3",5,10.75,20,TRUE,5,"ON","F1",192,3,4,2,1
"L3",6.208333,10.875,20,TRUE,5,"ON","F1",192,4.208333,5.208333,9,1
"L3",4.208333,10.75,20,TRUE,5,"ON","F1",192,2.208333,3.208333,7,1
"L3",5.125,10.70833,20,TRUE,5,"ON","F1",192,3.125,4.125,2,1
"L3",6.25,10.70833,20,TRUE,5,"ON","F1",192,4.25,5.25,2,1
"L3",3.958333,10.95833,20,TRUE,5,"ON","F1",192,1.958333,2.958333,6,1
"L3",5.083333,10.95833,20,TRUE,5,"ON","F1",192,3.083333,4.083333,6,1
"L3",6.041667,10.95833,20,TRUE,5,"ON","F1",192,4.041667,5.041667,8,1
"L3",5.125,10.70833,20,TRUE,5,"ON","F1",192,3.125,4.125,4,1
"L3",6.041667,10.95833,20,TRUE,5,"ON","F1",192,4.041667,5.041667,10,1
"L3",4.208333,10.875,20,TRUE,5,"ON","F1",192,2.208333,3.208333,6,1
"L3",4.25,10.70833,20,TRUE,5,"ON","F1",192,2.25,3.25,8,1
"L3",5.125,10.70833,20,TRUE,5,"ON","F1",192,3.125,4.125,4,1
"L3",5.083333,10.95833,20,TRUE,5,"ON","F1",192,3.083333,4.083333,6,1
"L3",5.083333,10.95833,20,TRUE,5,"ON","F1",192,3.083333,4.083333,6,1
"L3",5.083333,10.95833,20,TRUE,5,"ON","F1",192,3.083333,4.083333,10,1
"L3",5.083333,10.95833,20,TRUE,5,"ON","F1",192,3.083333,4.083333,8,1
"L3",13.20833,10.75,20,TRUE,5,"ON","F1",192,11.20833,12.20833,2,1
"L3",6.25,10.70833,20,TRUE,5,"ON","F1",192,4.25,5.25,2,1
"L3",6.208333,10.875,20,TRUE,5,"ON","F1",192,4.208333,5.208333,4,1
"L3",4.25,10.70833,20,TRUE,5,"ON","F1",192,2.25,3.25,9,1
"L3",5.125,10.70833,20,TRUE,5,"ON","F1",192,3.125,4.125,1,1
"L3",5.125,10.70833,20,TRUE,5,"ON","F1",192,3.125,4.125,7,1
"L3",6.041667,10.95833,20,TRUE,5,"ON","F1",192,4.041667,5.041667,6,1
"L3",5.083333,10.95833,20,TRUE,5,"ON","F1",192,3.083333,4.083333,1,1
"L3",5.125,10.70833,20,TRUE,5,"ON","F1",192,3.125,4.125,5,1
"L3",6.041667,10.95833,20,TRUE,5,"ON","F1",192,4.041667,5.041667,6,1
"L3",5.083333,10.95833,20,TRUE,5,"ON","F1",192,3.083333,4.083333,7,1
"L3",5.083333,10.95833,20,TRUE,5,"ON","F1",192,3.083333,4.083333,5,1
"L3",5.083333,10.95833,20,TRUE,5,"ON","F1",192,3.083333,4.083333,7,1
"L3",4.208333,10.75,20,TRUE,5,"ON","F1",192,2.208333,3.208333,10,1
"L3",5.083333,10.95833,20,TRUE,5,"ON","F1",192,3.083333,4.083333,7,1
"L3",5.125,10.70833,20,TRUE,5,"ON","F1",192,3.125,4.125,5,1
"L3",6.041667,10.95833,20,TRUE,5,"ON","F1",192,4.041667,5.041667,4,1
"L3",5.083333,10.95833,20,TRUE,5,"ON","F1",192,3.083333,4.083333,4,1
"L3",6.25,10.70833,20,TRUE,5,"ON","F1",192,4.25,5.25,3,1
"L3",4.208333,10.875,20,TRUE,5,"ON","F1",192,2.208333,3.208333,10,1
"L3",4.208333,10.75,20,TRUE,5,"ON","F1",192,2.208333,3.208333,7,1
"L3",2.208333,10.75,20,TRUE,5,"ON","F1",192,0.2083333,1.208333,1,1
"L3",5.083333,10.95833,20,TRUE,5,"ON","F1",192,3.083333,4.083333,5,1
"L3",5.083333,10.95833,20,TRUE,5,"ON","F1",192,3.083333,4.083333,8,1
"L3",4.25,10.70833,20,TRUE,5,"ON","F1",192,2.25,3.25,3,1
"L3",6.25,10.70833,20,TRUE,5,"ON","F1",192,4.25,5.25,4,1
"L3",4.208333,10.875,20,TRUE,5,"ON","F1",192,2.208333,3.208333,3,1
"L3",5.083333,10.95833,20,TRUE,5,"ON","F1",192,3.083333,4.083333,1,1
"L3",5.125,10.70833,20,TRUE,5,"ON","F1",192,3.125,4.125,4,1
