"province","temp","rate","time"
"QC",5.7,0.00874596759988394,114.338406673235
"IN",5.8,0.00987847255545604,101.230225056318
"IPU",5.8,0.014159928689184,70.6218248633407
"NB2",5.8,0.0118811129167053,84.1671994056159
"ON",5.8,0.00882822836350823,113.273011239508
"QC",5.8,0.00912161032470277,109.629766829403
"IN",5.9,0.0104371454365582,95.8116401513267
"IPU",5.9,0.0147922194393541,67.6031074721169
"NB2",5.9,0.0123462992932555,80.9959306865146
"ON",5.9,0.00916531977464958,109.106940625323
"QC",5.9,0.00951549767895675,105.091719008795
"IN",6,0.0110280918613662,90.677518491455
"IPU",6,0.0154381576910296,64.7745686772274
"NB2",6,0.0128137888315085,78.0409303762743
"ON",6,0.00950725927733964,105.182785017259
"QC",6,0.00992230240125098,100.78306017771
"IN",6.1,0.0116469165004319,85.8596364449897
"IPU",6.1,0.0161190228219713,62.038500393074
"NB2",6.1,0.0133077969392624,75.1439183287337
"ON",6.1,0.00987709602445069,101.244336621754
"QC",6.1,0.0103406516726801,96.7057040198781
"IN",6.2,0.0122905263443335,81.3634808944786
"IPU",6.2,0.0168245304579887,59.4370227947842
"NB2",6.2,0.0138058125101317,72.4332597804288
"ON",6.2,0.0102468323889213,97.591134811164
"QC",6.2,0.0107791645105798,92.7715686724289
"IN",6.3,0.0129714285250537,77.0925113009157
"IPU",6.3,0.017550267097872,56.9791898849485
"NB2",6.3,0.0143215167528213,69.8250098310311
"ON",6.3,0.0106202306076457,94.1599139423018
"QC",6.3,0.0112272240722109,89.0692150982877
"IN",6.4,0.0136966210286138,73.0107089245247
"IPU",6.4,0.0183021596687302,54.6383606220717
"NB2",6.4,0.0148588541511565,67.2999409936528
"ON",6.4,0.0110213157188215,90.7332686507518
"QC",6.4,0.0116824988295397,85.5981273216636
"IN",6.5,0.0144418010326584,69.2434414076204
"IPU",6.5,0.0190792641561554,52.4129228643108
"NB2",6.5,0.0154135594741301,64.8779409761089
"ON",6.5,0.0114297744587484,87.4907904754439
"QC",6.5,0.0121714238265082,82.1596564575563
"IN",6.6,0.0152372639939929,65.6285802147201
"IPU",6.6,0.0198888396258423,50.2794541678725
"NB2",6.6,0.0159840831502985,62.5622374246287
"ON",6.6,0.0118504380560228,84.3850691320281
"QC",6.6,0.0126710590400611,78.9200025001738
"IN",6.7,0.0160452018213936,62.3239284904298
"IPU",6.7,0.0207168960372435,48.2697793807482
"NB2",6.7,0.01658317656042,60.3020776120507
"ON",6.7,0.012277774448158,81.4479859377268
"QC",6.7,0.0131855863885697,75.8403890517323
"IN",6.8,0.0168949594231974,59.1892545715378
"IPU",6.8,0.0215935506582654,46.3101236342223
"NB2",6.8,0.0171851253341924,58.1898578502802
"ON",6.8,0.012728020787793,78.5668110641672
"QC",6.8,0.0137193463378246,72.8897781593857
"IN",6.9,0.0177873960364565,56.2195837162201
"IPU",6.9,0.022493852412088,44.456592297056
"NB2",6.9,0.0177974434898775,56.1878452219387
"ON",6.9,0.0131866638430017,75.8341926162906
"QC",6.9,0.01425960589267,70.128166128189
"IN",7,0.0187340472519383,53.3787487041663
"IPU",7,0.023403103263373,42.7293763550718
"NB2",7,0.018432723204251,54.2513435995216
"ON",7,0.0136633453316595,73.1885186240446
"QC",7,0.0148189732208664,67.4810587413391
"IN",7.1,0.0197166548058376,50.7185431959466
"IPU",7.1,0.0243479253176485,41.0712611948166
"NB2",7.1,0.0190793264839531,52.4127516180198
"ON",7.1,0.0141568581851085,70.6371418851525
"QC",7.1,0.0154128500497513,64.8809271164363
"IN",7.2,0.020718281873453,48.266552213689
"IPU",7.2,0.0253213387221402,39.4923828205528
"NB2",7.2,0.0197465745750725,50.6416948453991
"ON",7.2,0.0146593647432926,68.2157800032968
"QC",7.2,0.0159988076613169,62.504657928431
"IN",7.3,0.0217463443989403,45.9847408367583
"IPU",7.3,0.026318388554295,37.9962478670668
"NB2",7.3,0.0204290822777251,48.9498249090076
"ON",7.3,0.0151745061896187,65.9000030131439
"QC",7.3,0.0166097462438649,60.2056159914434
"IN",7.4,0.0228433561068822,43.7764061452526
"IPU",7.4,0.0273453857862959,36.569240894989
"NB2",7.4,0.0211248754978122,47.3375578999073
"ON",7.4,0.0157108747603708,63.6501795952869
"QC",7.4,0.017243703983898,57.9921826919771
"IN",7.5,0.0239712694149542,41.7166068304408
"IPU",7.5,0.0284017068569677,35.2091515646751
"NB2",7.5,0.0218315242951372,45.8053225967535
"ON",7.5,0.0162542123257459,61.5225138687879
"QC",7.5,0.0178944043859941,55.8833912964121
"IN",7.6,0.0251626780558232,39.7414008514125
"IPU",7.6,0.0294647454217635,33.9388645468558
"NB2",7.6,0.022552674599125,44.3406391435302
"ON",7.6,0.0168199507726231,59.4532062225137
"QC",7.6,0.0185560518569032,53.8907745018486
"IN",7.7,0.0263959612118914,37.884583671132
"IPU",7.7,0.0305651921777502,32.7169544424864
"NB2",7.7,0.0232869657617909,42.9424775565065
"ON",7.7,0.0174023375858498,57.4635444850531
"QC",7.7,0.019234566414653,51.989734455512
"IN",7.8,0.0276715792231435,36.1381616364969
"IPU",7.8,0.031708302039003,31.5374818961432
"NB2",7.8,0.0240420522557488,41.5937869797822
"ON",7.8,0.0180036659177189,55.5442433705352
"QC",7.8,0.0199346224000864,50.1639801041036
"IN",7.9,0.0289852508686051,34.5003053509664
"IPU",7.9,0.0328594433710753,30.4326518664891
"NB2",7.9,0.0248163491593628,40.2960161196428
"ON",7.9,0.0186223431668613,53.6989383077206
"QC",7.9,0.0206585605968694,48.4060836910667
"IN",8,0.0303592954339018,32.9388413693888
"IPU",8,0.0340543786723438,29.3647994614123
"NB2",8,0.0256059386034064,39.0534405416631
"ON",8,0.0192447011414257,51.9623569299117
"QC",8,0.0213930047708959,46.7442519285776
"IN",8.1,0.0317439843324914,31.5020317201132
"IPU",8.1,0.0352560850398138,28.3638988748452
"NB2",8.1,0.0264115124708665,37.8622784231017
"ON",8.1,0.0198923496834468,50.2705822058387
"QC",8.1,0.0221396831967561,45.1677657585464
"IN",8.2,0.0331503926762787,30.165555238846
"IPU",8.2,0.0365080249553497,27.3912380492401
"NB2",8.2,0.0272502642587241,36.6968927806353
"ON",8.2,0.0205622507760389,48.6328085054133
"QC",8.2,0.0229065969910608,43.6555467720065
"IN",8.3,0.034625359005059,28.880567027707
"IPU",8.3,0.0377775904369633,26.4707195049754
"NB2",8.3,0.0280674182463243,35.6285018165343
"ON",8.3,0.0212485903486223,47.0619456608836
"QC",8.3,0.0236900985340911,42.2117283219305
"IN",8.4,0.036141608573749,27.6689400243914
"IPU",8.4,0.0390723881975439,25.5935214307813
"NB2",8.4,0.0289358316520196,34.5592278850025
"ON",8.4,0.0219430972716037,45.5724181012355
"QC",8.4,0.0244849311255846,40.8414463286788
"IN",8.5,0.0376975704019883,26.5269093148738
"IPU",8.5,0.0403912282409722,24.7578512238511
"NB2",8.5,0.0298032679750756,33.5533730791009
"ON",8.5,0.0226545722744575,44.1411997520123
"QC",8.5,0.0253167269333431,39.4995768091605
"IN",8.6,0.0393401987738201,25.4192920022627
"IPU",8.6,0.0417397696240653,23.9579664497658
"NB2",8.6,0.0306936910245604,32.5799853093389
"ON",8.6,0.0233773284544115,42.7764875713663
"QC",8.6,0.0261594082349281,38.2271644725638
"IN",8.7,0.0410037928967045,24.3879889204384
"IPU",8.7,0.0431338000146545,23.1836752006179
"NB2",8.7,0.0315809170810707,31.6646916064033
"ON",8.7,0.024131015913866,41.4404441980014
"QC",8.7,0.0270174965608682,37.0130540009633
"IN",8.8,0.0426921005647539,23.4235372415412
"IPU",8.8,0.0444945120336658,22.4746818612437
"NB2",8.8,0.0324768437493108,30.7911694925318
"ON",8.8,0.0248880212537289,40.1799721780179
"QC",8.8,0.0278780821058883,35.8704735622988
"IN",8.9,0.0444459202194652,22.4992529189858
"IPU",8.9,0.0458944768971725,21.7891143426713
"NB2",8.9,0.0333857775630562,29.9528746164433
"ON",8.9,0.0256655309873847,38.9627629565601
"QC",8.9,0.0287714079895472,34.75672853574
"IN",9,0.0461954412897665,21.6471576708335
"IPU",9,0.0473491931683219,21.1196840557926
"NB2",9,0.0343268749468222,29.1316935146629
"ON",9,0.0264563869102956,37.7980575724811
"QC",9,0.0296726349954448,33.7010852268234
"IN",9.1,0.0480324243051712,20.8192702509338
"IPU",9.1,0.0488007742210008,20.4914785428136
"NB2",9.1,0.0352675614500372,28.354668176342
"ON",9.1,0.0272721148741973,36.6674900225011
"QC",9.1,0.030593810492859,32.6863500943154
"IN",9.2,0.0498438321320484,20.0626629939517
"IPU",9.2,0.0502548768616565,19.8985666550287
"NB2",9.2,0.036218815819769,27.6099584900416
"ON",9.2,0.0281190776484435,35.5630441862196
"QC",9.2,0.0315311361575664,31.714684676852
"IN",9.3,0.0517305119505606,19.3309514662739
"IPU",9.3,0.0517324783566263,19.3302171424355
"NB2",9.3,0.0372138007352396,26.8717514347921
"ON",9.3,0.0289570737252681,34.5338762592758
"QC",9.3,0.0324928950767477,30.7759588129799
"IN",9.4,0.053677573034668,18.6297544203631
"IPU",9.4,0.0532349882236828,18.7846383512761
"NB2",9.4,0.0382041515644117,26.1751657624158
"ON",9.4,0.0298381778437999,33.5141109469092
"QC",9.4,0.0334500917275361,29.8952842558116
"IN",9.5,0.0556620836227815,17.9655511940659
"IPU",9.5,0.0547588005583373,18.261904749784
"NB2",9.5,0.0392187073877189,25.4980356790891
"ON",9.5,0.0307351895055299,32.5359959970236
"QC",9.5,0.0344617553399898,29.0176745948718
"IN",9.6,0.0576305718154948,17.3519014041038
"IPU",9.6,0.0563185387301134,17.7561437780142
"NB2",9.6,0.0402422549217133,24.8495025578299
"ON",9.6,0.0316376767787591,31.6078834574752
"QC",9.6,0.0354498227497735,28.2088857581937
"IN",9.7,0.0596603092170369,16.7615635066522
"IPU",9.7,0.0578673375640162,17.2809058307584
"NB2",9.7,0.041294190562494,24.2164817665922
"ON",9.7,0.0325480890927673,30.7237702276159
"QC",9.7,0.0364536623288528,27.4320862634029
"IN",9.8,0.0616676751819544,16.2159510274662
"IPU",9.8,0.0594280295911374,16.8270765111708
"NB2",9.8,0.0423280340555906,23.6250049285736
"ON",9.8,0.0334894297825062,29.8601680571768
"QC",9.8,0.0374701077856767,26.6879403102659
"IN",9.9,0.063765454381834,15.6824728691788
"IPU",9.9,0.0610227645933365,16.3873270415146
"NB2",9.9,0.0433639942291824,23.0606067342345
"ON",9.9,0.0344395825099079,29.036357527008
"QC",9.9,0.0384848978833557,25.9842190072247
"IN",10,0.0658617585006784,15.1833176515253
"IPU",10,0.0625749247888135,15.9808422213737
"NB2",10,0.0444047780985572,22.5200990448875
"ON",10,0.0354193254149411,28.2331747164035
"QC",10,0.0395117621731054,25.3089193023545
"IN",10.1,0.0679574678248731,14.7150869423141
"IPU",10.1,0.0641637264273954,15.5851299257937
"NB2",10.1,0.0454848359948509,21.9853491492127
"ON",10.1,0.0364026755355026,27.4705083056079
"QC",10.1,0.0405340290981241,24.6706291624332
"IN",10.2,0.0700236001593504,14.2808995521629
"IPU",10.2,0.0657767014690398,15.2029514699053
"NB2",10.2,0.0465812012718863,21.4678878979466
"ON",10.2,0.037411968301524,26.7294142920482
"QC",10.2,0.0415993993881512,24.0388089045319
"IN",10.3,0.0721961617104037,13.8511518763065
"IPU",10.3,0.0674146548624472,14.833569972355
"NB2",10.3,0.0476491451221546,20.986736623463
"ON",10.3,0.0384516043283026,26.0067172111729
"QC",10.3,0.042669125613092,23.4361496412584
"IN",10.4,0.0743063761201663,13.457795406219
"IPU",10.4,0.0690342181820171,14.4855700505069
"NB2",10.4,0.0487213492925196,20.5248834030054
"ON",10.4,0.0394949983762806,25.319662095779
"QC",10.4,0.0437622639388044,22.8507373835099
"IN",10.5,0.076517467201937,13.0689114996547
"IPU",10.5,0.0706731084837749,14.1496535865155
"NB2",10.5,0.0498141489608279,20.0746177737954
"ON",10.5,0.0405568385514667,24.6567542657565
"QC",10.5,0.0448482383470524,22.2974198531872
"IN",10.6,0.0787301518826236,12.7016140582211
"IPU",10.6,0.0723226985677227,13.8269177564867
"NB2",10.6,0.0509253891254087,19.6365706270738
"ON",10.6,0.0416262355965334,24.0233113023914
"QC",10.6,0.0459432369286527,21.7659892265503
"IN",10.7,0.0808857637305524,12.3631155569298
"IPU",10.7,0.0739432089088766,13.5238923907396
"NB2",10.7,0.0520017842328144,19.2301094124513
"ON",10.7,0.0427335459728884,23.4008195975474
"QC",10.7,0.0470599776043921,21.2494790391194
"IN",10.8,0.0830673078925234,12.0384303529629
"IPU",10.8,0.075541491369806,13.2377582581388
"NB2",10.8,0.053126270363174,18.8230802658202
"ON",10.8,0.043838846358051,22.8108192942959
"QC",10.8,0.0482011702305465,20.746384319099
"IN",10.9,0.0853394327265914,11.7179124663746
"IPU",10.9,0.077173111763091,12.9578811534923
"NB2",10.9,0.0542405520866727,18.4363905209089
"ON",10.9,0.0449731431249963,22.2354928029708
"QC",10.9,0.0493384496109852,20.2681683279311
"IN",11,0.0875245321977356,11.4253681221559
"IPU",11,0.0788008195788795,12.6902237286678
"NB2",11,0.0553595849993469,18.063719671158
"ON",11,0.0461056890956049,21.6892973584209
"QC",11,0.0504339292789604,19.8279216893588
"IN",11.1,0.089715896266426,11.1462967334126
"IPU",11.1,0.0804345661943734,12.432465882802
"NB2",11.1,0.0564534450024061,17.7137111412899
"ON",11.1,0.047265282794106,21.157177976831
"QC",11.1,0.0515929252250935,19.3825024759383
"IN",11.2,0.0919045991788352,10.8808486719392
"IPU",11.2,0.0820929118701585,12.1813196693374
"NB2",11.2,0.0575720924838965,17.3695278408232
"ON",11.2,0.0484381896741852,20.6448673426309
"QC",11.2,0.0527359396176525,18.9624003908996
"IN",11.3,0.0941108145713429,10.625771386744
