"stage","time2","time1","temp2","transfer","temp1","province","generation","block","time2d","time2.orig","group_index","nobs","q5","q50","q95","in.predint"
"L6",6.625,31.75,20,TRUE,5,"ON","F1",195,4.625,5.625,1,1,6.42592616520479,9.03132277087695,12.6150087320722,1
"L6",8.625,31.75,20,TRUE,5,"ON","F1",195,6.625,7.625,1,1,6.42592616520479,9.03132277087695,12.6150087320722,1
"L2",10.25,3.791667,20,TRUE,10,"ON","F1",161,9.25,10.25,1,1,4.12119735556108,6.48181174249009,9.68493127336237,1
"L2",7.041667,3.791667,20,TRUE,10,"ON","F1",161,6.041667,7.041667,1,1,4.12119735556108,6.48181174249009,9.68493127336237,1
"L2",6.166667,3.791667,20,TRUE,10,"ON","F1",161,5.166667,6.166667,1,1,4.12119735556108,6.48181174249009,9.68493127336237,1
"L2",5.166667,3.791667,20,TRUE,10,"ON","F1",161,4.166667,5.166667,1,1,4.12119735556108,6.48181174249009,9.68493127336237,1
"L2",7.041667,3.791667,20,TRUE,10,"ON","F1",161,6.041667,7.041667,1,1,4.12119735556108,6.48181174249009,9.68493127336237,1
"L2",5.166667,3.791667,20,TRUE,10,"ON","F1",161,4.166667,5.166667,1,1,4.12119735556108,6.48181174249009,9.68493127336237,1
"L2",5.166667,3.791667,20,TRUE,10,"ON","F1",161,4.166667,5.166667,1,1,4.12119735556108,6.48181174249009,9.68493127336237,1
"L2",6.166667,3.791667,20,TRUE,10,"ON","F1",161,5.166667,6.166667,1,1,4.12119735556108,6.48181174249009,9.68493127336237,1
"L2",5.166667,3.791667,20,TRUE,10,"ON","F1",161,4.166667,5.166667,1,1,4.12119735556108,6.48181174249009,9.68493127336237,1
"L2",5.166667,3.791667,20,TRUE,10,"ON","F1",161,4.166667,5.166667,1,1,4.12119735556108,6.48181174249009,9.68493127336237,1
"L2",6.166667,3.791667,20,TRUE,10,"ON","F1",161,5.166667,6.166667,1,1,4.12119735556108,6.48181174249009,9.68493127336237,1
"L2",6.166667,3.791667,20,TRUE,10,"ON","F1",161,5.166667,6.166667,1,1,4.12119735556108,6.48181174249009,9.68493127336237,1
"L2",5.166667,3.791667,20,TRUE,10,"ON","F1",161,4.166667,5.166667,1,1,4.12119735556108,6.48181174249009,9.68493127336237,1
"L2",6.166667,3.791667,20,TRUE,10,"ON","F1",161,5.166667,6.166667,1,1,4.12119735556108,6.48181174249009,9.68493127336237,1
"L2",7.041667,2.916667,20,TRUE,10,"ON","F1",161,6.041667,7.041667,1,1,4.28523170912922,6.5701844131095,9.70024722068074,1
"L3",6.291667,7.666667,20,TRUE,10,"ON","F1",162,4.291667,5.291667,1,1,2.81564381253602,4.37018391454009,6.24109729751591,1
"L3",4.041667,7.958333,20,TRUE,10,"ON","F1",162,2.041667,3.041667,1,1,2.79617366943581,4.36260904173308,6.23988341165084,1
"L3",3.208333,7.833333,20,TRUE,10,"ON","F1",162,1.208333,2.208333,1,1,2.80451803555159,4.36585542321353,6.24040364963927,1
"L3",3.208333,7.75,20,TRUE,10,"ON","F1",162,1.208333,2.208333,1,1,2.8100809240438,4.36801966887681,6.24075047357759,1
"L3",5.083333,7.958333,20,TRUE,10,"ON","F1",162,3.083333,4.083333,1,1,2.79617366943581,4.36260904173308,6.23988341165084,1
"L3",3.208333,7.75,20,TRUE,10,"ON","F1",162,1.208333,2.208333,1,1,2.8100809240438,4.36801966887681,6.24075047357759,1
"L3",3.208333,7.75,20,TRUE,10,"ON","F1",162,1.208333,2.208333,1,1,2.8100809240438,4.36801966887681,6.24075047357759,1
"L3",3.208333,7.833333,20,TRUE,10,"ON","F1",162,1.208333,2.208333,1,1,2.80451803555159,4.36585542321353,6.24040364963927,1
"L3",3.208333,7.75,20,TRUE,10,"ON","F1",162,1.208333,2.208333,1,1,2.8100809240438,4.36801966887681,6.24075047357759,1
"L3",3.208333,7.75,20,TRUE,10,"ON","F1",162,1.208333,2.208333,1,1,2.8100809240438,4.36801966887681,6.24075047357759,1
"L3",3.208333,7.833333,20,TRUE,10,"ON","F1",162,1.208333,2.208333,1,1,2.80451803555159,4.36585542321353,6.24040364963927,1
"L3",3.208333,7.833333,20,TRUE,10,"ON","F1",162,1.208333,2.208333,1,1,2.80451803555159,4.36585542321353,6.24040364963927,1
"L3",6.125,7.75,20,TRUE,10,"ON","F1",162,4.125,5.125,1,1,2.8100809240438,4.36801966887681,6.24075047357759,1
"L3",3.208333,7.833333,20,TRUE,10,"ON","F1",162,1.208333,2.208333,1,1,2.80451803555159,4.36585542321353,6.24040364963927,1
"L3",5.083333,7.958333,20,TRUE,10,"ON","F1",162,3.083333,4.083333,1,1,2.79617366943581,4.36260904173308,6.23988341165084,1
"L4",3.291667,5.708333,20,TRUE,10,"ON","F1",163,1.291667,2.291667,1,1,2.65448670345936,4.09055868812631,5.82978976725505,1
"L4",6.208333,5.875,20,TRUE,10,"ON","F1",163,4.208333,5.208333,1,1,2.63758379606727,4.0826913097788,5.82840953020574,1
"L4",3.958333,5.875,20,TRUE,10,"ON","F1",163,1.958333,2.958333,1,1,2.63758379606727,4.0826913097788,5.82840953020574,1
"L4",4.166667,5.916667,20,TRUE,10,"ON","F1",163,2.166667,3.166667,1,1,2.63335804386493,4.08072445339087,5.82806446887307,1
"L4",4.083333,5.833333,20,TRUE,10,"ON","F1",163,2.083333,3.083333,1,1,2.6418095482696,4.08465816616672,5.82875459153842,1
"L4",4.166667,5.916667,20,TRUE,10,"ON","F1",163,2.166667,3.166667,1,1,2.63335804386493,4.08072445339087,5.82806446887307,1
"L4",5.958333,5.916667,20,TRUE,10,"ON","F1",163,3.958333,4.958333,1,1,2.63335804386493,4.08072445339087,5.82806446887307,1
"L4",4.916667,5.875,20,TRUE,10,"ON","F1",163,2.916667,3.916667,1,1,2.63758379606727,4.0826913097788,5.82840953020574,1
"L4",4.166667,5.916667,20,TRUE,10,"ON","F1",163,2.166667,3.166667,1,1,2.63335804386493,4.08072445339087,5.82806446887307,1
"L4",4.166667,5.916667,20,TRUE,10,"ON","F1",163,2.166667,3.166667,1,1,2.63335804386493,4.08072445339087,5.82806446887307,1
"L4",3.958333,5.875,20,TRUE,10,"ON","F1",163,1.958333,2.958333,1,1,2.63758379606727,4.0826913097788,5.82840953020574,1
"L4",3.958333,5.875,20,TRUE,10,"ON","F1",163,1.958333,2.958333,1,1,2.63758379606727,4.0826913097788,5.82840953020574,1
"L4",4.125,5.875,20,TRUE,10,"ON","F1",163,2.125,3.125,1,1,2.63758379606727,4.0826913097788,5.82840953020574,1
"L4",3.958333,5.875,20,TRUE,10,"ON","F1",163,1.958333,2.958333,1,1,2.63758379606727,4.0826913097788,5.82840953020574,1
"L4",4.083333,5.833333,20,TRUE,10,"ON","F1",163,2.083333,3.083333,1,1,2.6418095482696,4.08465816616672,5.82875459153842,1
"L5",8.208333,5.708333,20,TRUE,10,"ON","F1",164,6.208333,7.208333,1,1,2.99315925150779,4.50599977939762,6.328923959793,1
"L5",5.083333,5.833333,20,TRUE,10,"ON","F1",164,3.083333,4.083333,1,1,2.98391451453924,4.50266769449077,6.32845299592679,1
"L5",4.208333,5.875,20,TRUE,10,"ON","F1",164,2.208333,3.208333,1,1,2.98083291089709,4.50155699063626,6.32829600671548,1
"L5",4.291667,5.708333,20,TRUE,10,"ON","F1",164,2.291667,3.291667,1,1,2.99315925150779,4.50599977939762,6.328923959793,1
"L5",5.083333,5.916667,20,TRUE,10,"ON","F1",164,3.083333,4.083333,1,1,2.97775130725494,4.50044628678175,6.32813901750418,1
"L5",4.291667,5.708333,20,TRUE,10,"ON","F1",164,2.291667,3.291667,1,1,2.99315925150779,4.50599977939762,6.328923959793,1
"L5",5.125,5.875,20,TRUE,10,"ON","F1",164,3.125,4.125,1,1,2.98083291089709,4.50155699063626,6.32829600671548,1
"L5",5.125,5.875,20,TRUE,10,"ON","F1",164,3.125,4.125,1,1,2.98083291089709,4.50155699063626,6.32829600671548,1
"L5",4.291667,5.708333,20,TRUE,10,"ON","F1",164,2.291667,3.291667,1,1,2.99315925150779,4.50599977939762,6.328923959793,1
"L5",4.291667,5.708333,20,TRUE,10,"ON","F1",164,2.291667,3.291667,1,1,2.99315925150779,4.50599977939762,6.328923959793,1
"L5",7.208333,5.875,20,TRUE,10,"ON","F1",164,5.208333,6.208333,1,1,2.98083291089709,4.50155699063626,6.32829600671548,1
"L5",5.041667,5.875,20,TRUE,10,"ON","F1",164,3.041667,4.041667,1,1,2.98083291089709,4.50155699063626,6.32829600671548,1
"L5",5.208333,5.875,20,TRUE,10,"ON","F1",164,3.208333,4.208333,1,1,2.98083291089709,4.50155699063626,6.32829600671548,1
"L5",4.208333,5.875,20,TRUE,10,"ON","F1",164,2.208333,3.208333,1,1,2.98083291089709,4.50155699063626,6.32829600671548,1
"L5",4.208333,5.916667,20,TRUE,10,"ON","F1",164,2.208333,3.208333,1,1,2.97775130725494,4.50044628678175,6.32813901750418,1
"L6",6.5,9.916667,20,TRUE,10,"ON","F1",165,4.5,5.5,1,1,5.83182370523019,8.80548108404419,12.5821967807929,1
"L6",6.625,9.875,20,TRUE,10,"ON","F1",165,4.625,5.625,1,1,5.83449652406136,8.80643886117528,12.5823347536413,1
"L6",7.625,9.791667,20,TRUE,10,"ON","F1",165,5.625,6.625,1,1,5.83984209757656,8.80835439245099,12.5826106960269,1
"L6",8.5,9.833333,20,TRUE,10,"ON","F1",165,6.5,7.5,1,1,5.83716934289253,8.80739663830637,12.5824727264898,1
"L6",7.541667,10,20,TRUE,10,"ON","F1",165,5.541667,6.541667,1,1,5.82647813171498,8.80356555276847,12.5819208384074,1
"L6",6.5,9.833333,20,TRUE,10,"ON","F1",165,4.5,5.5,1,1,5.83716934289253,8.80739663830637,12.5824727264898,1
"L6",10.625,9.916667,20,TRUE,10,"ON","F1",165,8.625,9.625,1,1,5.83182370523019,8.80548108404419,12.5821967807929,1
"L6",7.625,9.916667,20,TRUE,10,"ON","F1",165,5.625,6.625,1,1,5.83182370523019,8.80548108404419,12.5821967807929,1
