"dev.low","dev.high","base","date"
0.00656322265144041,0.0168886323830835,0.005,"2020-04-01"
0.00735379870247935,0.0150509633345818,0.025,"2020-04-01"
0.00778107208992556,0.0142134074795248,0.05,"2020-04-01"
0.00929756267716414,0.0119006245427186,0.25,"2020-04-01"
0.0105128511102135,0.0105128511102135,0.5,"2020-04-01"
0.00688588429573962,0.0177189125951215,0.005,"2020-04-02"
0.00771532670590106,0.0157908999230133,0.025,"2020-04-02"
0.0081636057396708,0.0149121680841847,0.05,"2020-04-02"
0.00975465015091158,0.0124856839391568,0.25,"2020-04-02"
0.0110296846850656,0.0110296846850656,0.5,"2020-04-02"
0.0131043371422686,0.0337203755492265,0.005,"2020-04-03"
0.0146828261955302,0.0300512276250443,0.025,"2020-04-03"
0.0155359337035904,0.0283789372148235,0.05,"2020-04-03"
0.018563806592207,0.0237611619311917,0.25,"2020-04-03"
0.0209902897693827,0.0209902897693827,0.5,"2020-04-03"
0.0239621370188479,0.0616599107963498,0.005,"2020-04-04"
0.0268485074293744,0.054950633986149,0.025,"2020-04-04"
0.0284084702705324,0.0518927416631743,0.05,"2020-04-04"
0.0339451337617868,0.0434488377199734,0.25,"2020-04-04"
0.0383821168563278,0.0383821168563278,0.5,"2020-04-04"
0.0267981305767355,0.0689575533088197,0.005,"2020-04-05"
0.0300261119163495,0.0614542126888323,0.025,"2020-04-05"
0.03177070121902,0.0580344092841436,0.05,"2020-04-05"
0.0379626460810903,0.0485911430066274,0.25,"2020-04-05"
0.0429247599460078,0.0429247599460078,0.5,"2020-04-05"
0.0331436348168797,0.0852859477711915,0.005,"2020-04-06"
0.0371359668345745,0.0760058981534238,0.025,"2020-04-06"
0.0392936558042426,0.0717763227035257,0.05,"2020-04-06"
0.0469517854908288,0.0600969942487169,0.25,"2020-04-06"
0.0530888736503057,0.0530888736503057,0.5,"2020-04-06"
0.035852024957888,0.0922552382966957,0.005,"2020-04-07"
0.0401705973754696,0.0822168531785613,0.025,"2020-04-07"
0.0425046056765899,0.0776416505663906,0.05,"2020-04-07"
0.0507885328369991,0.0650079253408181,0.25,"2020-04-07"
0.0574271238991438,0.0574271238991438,0.5,"2020-04-07"
0.035852024957888,0.0922552382966957,0.005,"2020-04-08"
0.0401705973754696,0.0822168531785613,0.025,"2020-04-08"
0.0425046056765899,0.0776416505663906,0.05,"2020-04-08"
0.0507885328369991,0.0650079253408181,0.25,"2020-04-08"
0.0574271238991438,0.0574271238991438,0.5,"2020-04-08"
0.035852024957888,0.0922552382966957,0.005,"2020-04-09"
0.0401705973754696,0.0822168531785613,0.025,"2020-04-09"
0.0425046056765899,0.0776416505663906,0.05,"2020-04-09"
0.0507885328369991,0.0650079253408181,0.25,"2020-04-09"
0.0574271238991438,0.0574271238991438,0.5,"2020-04-09"
0.035852024957888,0.0922552382966957,0.005,"2020-04-10"
0.0401705973754696,0.0822168531785613,0.025,"2020-04-10"
0.0425046056765899,0.0776416505663906,0.05,"2020-04-10"
0.0507885328369991,0.0650079253408181,0.25,"2020-04-10"
0.0574271238991438,0.0574271238991438,0.5,"2020-04-10"
0.0374829108057561,0.0964518705010553,0.005,"2020-04-11"
0.0419979323401476,0.085956845618672,0.025,"2020-04-11"
0.0444381131966976,0.0811735199451099,0.05,"2020-04-11"
0.0530988709430096,0.0679650945819457,0.25,"2020-04-11"
0.060039447296801,0.060039447296801,0.5,"2020-04-11"
0.037595760171396,0.0967422570309923,0.005,"2020-04-12"
0.0421243750288527,0.086215634898692,0.025,"2020-04-12"
0.0445719025096586,0.0814179081218989,0.05,"2020-04-12"
0.0532587350990556,0.0681697163054018,0.25,"2020-04-12"
0.0602202073657275,0.0602202073657275,0.5,"2020-04-12"
0.037595760171396,0.0967422570309923,0.005,"2020-04-13"
0.0421243750288527,0.086215634898692,0.025,"2020-04-13"
0.0445719025096586,0.0814179081218989,0.05,"2020-04-13"
0.0532587350990556,0.0681697163054018,0.25,"2020-04-13"
0.0602202073657275,0.0602202073657275,0.5,"2020-04-13"
0.037595760171396,0.0967422570309923,0.005,"2020-04-14"
0.0421243750288527,0.086215634898692,0.025,"2020-04-14"
0.0445719025096586,0.0814179081218989,0.05,"2020-04-14"
0.0532587350990556,0.0681697163054018,0.25,"2020-04-14"
0.0602202073657275,0.0602202073657275,0.5,"2020-04-14"
0.037595760171396,0.0967422570309923,0.005,"2020-04-15"
0.0421243750288527,0.086215634898692,0.025,"2020-04-15"
0.0445719025096586,0.0814179081218989,0.05,"2020-04-15"
0.0532587350990556,0.0681697163054018,0.25,"2020-04-15"
0.0602202073657275,0.0602202073657275,0.5,"2020-04-15"
0.037595760171396,0.0967422570309923,0.005,"2020-04-16"
0.0421243750288527,0.086215634898692,0.025,"2020-04-16"
0.0445719025096586,0.0814179081218989,0.05,"2020-04-16"
0.0532587350990556,0.0681697163054018,0.25,"2020-04-16"
0.0602202073657275,0.0602202073657275,0.5,"2020-04-16"
0.037595760171396,0.0967422570309923,0.005,"2020-04-17"
0.0421243750288527,0.086215634898692,0.025,"2020-04-17"
0.0445719025096586,0.0814179081218989,0.05,"2020-04-17"
0.0532587350990556,0.0681697163054018,0.25,"2020-04-17"
0.0602202073657275,0.0602202073657275,0.5,"2020-04-17"
