"","stage","time2","time1","temp2","transfer","temp1","province","generation","block","time2d","time2.orig","group_index","nobs","q5","q50","q95","in.predint"
"51","L2",6.166667,3.791667,20,TRUE,10,"ON","F1",161,5.166667,6.166667,1,1,0,50.3211299158503,Inf,1
"52","L2",6.166667,3.791667,20,TRUE,10,"ON","F1",161,5.166667,6.166667,1,1,0,50.3211299158503,Inf,1
"53","L2",5.166667,3.791667,20,TRUE,10,"ON","F1",161,4.166667,5.166667,1,1,0,50.3211299158503,Inf,1
"54","L2",6.166667,3.791667,20,TRUE,10,"ON","F1",161,5.166667,6.166667,1,1,0,50.3211299158503,Inf,1
"55","L2",7.041667,2.916667,20,TRUE,10,"ON","F1",161,6.041667,7.041667,1,1,0,50.5742118552941,Inf,1
"56","L3",6.291667,7.666667,20,TRUE,10,"ON","F1",162,4.291667,5.291667,1,1,0,Inf,Inf,1
"57","L3",4.041667,7.958333,20,TRUE,10,"ON","F1",162,2.041667,3.041667,1,1,0,Inf,Inf,1
"58","L3",3.208333,7.833333,20,TRUE,10,"ON","F1",162,1.208333,2.208333,1,1,0,Inf,Inf,1
"59","L3",3.208333,7.75,20,TRUE,10,"ON","F1",162,1.208333,2.208333,1,1,0,Inf,Inf,1
"60","L3",5.083333,7.958333,20,TRUE,10,"ON","F1",162,3.083333,4.083333,1,1,0,Inf,Inf,1
"61","L3",3.208333,7.75,20,TRUE,10,"ON","F1",162,1.208333,2.208333,1,1,0,Inf,Inf,1
"62","L3",3.208333,7.75,20,TRUE,10,"ON","F1",162,1.208333,2.208333,1,1,0,Inf,Inf,1
"63","L3",3.208333,7.833333,20,TRUE,10,"ON","F1",162,1.208333,2.208333,1,1,0,Inf,Inf,1
"64","L3",3.208333,7.75,20,TRUE,10,"ON","F1",162,1.208333,2.208333,1,1,0,Inf,Inf,1
"65","L3",3.208333,7.75,20,TRUE,10,"ON","F1",162,1.208333,2.208333,1,1,0,Inf,Inf,1
"66","L3",3.208333,7.833333,20,TRUE,10,"ON","F1",162,1.208333,2.208333,1,1,0,Inf,Inf,1
"67","L3",3.208333,7.833333,20,TRUE,10,"ON","F1",162,1.208333,2.208333,1,1,0,Inf,Inf,1
"68","L3",6.125,7.75,20,TRUE,10,"ON","F1",162,4.125,5.125,1,1,0,Inf,Inf,1
"69","L3",3.208333,7.833333,20,TRUE,10,"ON","F1",162,1.208333,2.208333,1,1,0,Inf,Inf,1
"70","L3",5.083333,7.958333,20,TRUE,10,"ON","F1",162,3.083333,4.083333,1,1,0,Inf,Inf,1
"71","L4",3.291667,5.708333,20,TRUE,10,"ON","F1",163,1.291667,2.291667,1,1,0,Inf,Inf,1
"72","L4",6.208333,5.875,20,TRUE,10,"ON","F1",163,4.208333,5.208333,1,1,0,Inf,Inf,1
"73","L4",3.958333,5.875,20,TRUE,10,"ON","F1",163,1.958333,2.958333,1,1,0,Inf,Inf,1
"74","L4",4.166667,5.916667,20,TRUE,10,"ON","F1",163,2.166667,3.166667,1,1,0,Inf,Inf,1
"75","L4",4.083333,5.833333,20,TRUE,10,"ON","F1",163,2.083333,3.083333,1,1,0,Inf,Inf,1
"76","L4",4.166667,5.916667,20,TRUE,10,"ON","F1",163,2.166667,3.166667,1,1,0,Inf,Inf,1
"77","L4",5.958333,5.916667,20,TRUE,10,"ON","F1",163,3.958333,4.958333,1,1,0,Inf,Inf,1
"78","L4",4.916667,5.875,20,TRUE,10,"ON","F1",163,2.916667,3.916667,1,1,0,Inf,Inf,1
"79","L4",4.166667,5.916667,20,TRUE,10,"ON","F1",163,2.166667,3.166667,1,1,0,Inf,Inf,1
"80","L4",4.166667,5.916667,20,TRUE,10,"ON","F1",163,2.166667,3.166667,1,1,0,Inf,Inf,1
"81","L4",3.958333,5.875,20,TRUE,10,"ON","F1",163,1.958333,2.958333,1,1,0,Inf,Inf,1
"82","L4",3.958333,5.875,20,TRUE,10,"ON","F1",163,1.958333,2.958333,1,1,0,Inf,Inf,1
"83","L4",4.125,5.875,20,TRUE,10,"ON","F1",163,2.125,3.125,1,1,0,Inf,Inf,1
"84","L4",3.958333,5.875,20,TRUE,10,"ON","F1",163,1.958333,2.958333,1,1,0,Inf,Inf,1
"85","L4",4.083333,5.833333,20,TRUE,10,"ON","F1",163,2.083333,3.083333,1,1,0,Inf,Inf,1
"86","L5",8.208333,5.708333,20,TRUE,10,"ON","F1",164,6.208333,7.208333,1,1,0,12.9935341476784,Inf,1
"87","L5",5.083333,5.833333,20,TRUE,10,"ON","F1",164,3.083333,4.083333,1,1,0,12.9707272797084,Inf,1
"88","L5",4.208333,5.875,20,TRUE,10,"ON","F1",164,2.208333,3.208333,1,1,0,12.9631249295667,Inf,1
"89","L5",4.291667,5.708333,20,TRUE,10,"ON","F1",164,2.291667,3.291667,1,1,0,12.9935341476784,Inf,1
